id,motif,probability,motif_index
241,60,0.17503832280635834,3
241,140,0.03560856729745865,4
241,21,0.0237607229501009,5
241,28,0.008916999213397503,6
241,174,0.002994706854224205,7
241,135,0.0029776617884635925,8
244,156,0.3066975474357605,1
244,164,0.23267650604248047,2
244,121,0.1322200447320938,3
244,20,0.12163909524679184,4
244,175,0.10589920729398727,5
244,127,0.04761536419391632,6
244,183,0.03179049864411354,7
244,165,0.0159367136657238,8
245,110,0.9398796558380127,1
245,98,0.02965017594397068,2
245,16,0.022265832871198654,3
252,137,0.7160868048667908,1
252,142,0.12455559521913528,2
252,173,0.09403965622186661,3
252,7,0.03140217065811157,4
254,43,0.9966791868209839,1
255,98,0.7047417759895325,1
255,152,0.2766839265823364,2
255,49,0.015683185309171677,3
256,174,0.6664082407951355,1
256,152,0.32980653643608093,2
257,174,0.33963456749916077,1
257,194,0.31078705191612244,2
257,98,0.29477158188819885,3
257,195,0.05127828195691109,4
259,1,0.6107080578804016,1
259,17,0.26471081376075745,2
259,75,0.06115968897938728,3
259,103,0.02053103968501091,4
259,142,0.020390896126627922,5
262,195,0.9028850197792053,1
262,100,0.08902847766876221,2
263,174,0.9697580337524414,1
263,100,0.019686874002218246,2
265,152,0.5455889105796814,1
265,174,0.285576194524765,2
265,116,0.0968925952911377,3
265,21,0.0255466066300869,4
265,98,0.02552705630660057,5
265,110,0.015318730846047401,6
266,98,0.9899022579193115,1
266,133,0.004782042000442743,2
269,195,0.5296469926834106,1
269,16,0.4527803659439087,2
269,174,0.012854487635195255,3
270,174,0.7403923273086548,1
270,110,0.2444104552268982,2
270,60,0.007262291386723518,3
274,89,0.5591935515403748,1
274,54,0.3214562237262726,2
274,24,0.11450965702533722,3
277,110,0.9767091870307922,1
277,175,0.015123920515179634,2
278,195,0.9660447835922241,1
278,100,0.030289888381958008,2
280,189,0.9972454905509949,1
281,166,0.9439151287078857,1
281,57,0.02776966616511345,2
281,134,0.023145286366343498,3
282,156,0.8576773405075073,1
282,15,0.11255752295255661,2
282,91,0.0141212847083807,3
287,174,0.5825390219688416,1
287,182,0.4008139371871948,2
287,19,0.010723041370511055,3
288,195,0.35211998224258423,1
288,182,0.2805004417896271,2
288,169,0.20589372515678406,3
288,173,0.10450126230716705,4
288,174,0.03583581745624542,5
288,135,0.017915084958076477,6
289,190,0.7762192487716675,1
289,189,0.19891223311424255,2
289,151,0.009741236455738544,3
289,100,0.004998223856091499,4
289,130,0.004875305108726025,5
291,98,0.9632402062416077,1
291,195,0.0268032755702734,2
296,45,0.8513967394828796,1
296,152,0.12017913907766342,2
296,75,0.015352189540863037,3
296,60,0.010253386572003365,4
302,164,0.6872544288635254,1
302,183,0.1815154105424881,2
302,177,0.05358629673719406,3
302,6,0.02678673341870308,4
302,78,0.023884128779172897,5
302,30,0.020842572674155235,6
302,1,0.0029843070078641176,7
308,172,0.7508056163787842,1
308,177,0.11264310032129288,2
308,183,0.07905599474906921,3
308,165,0.029664576053619385,4
308,26,0.015810471028089523,5
308,175,0.007959536276757717,6
309,182,0.7677503824234009,1
309,174,0.18629854917526245,2
309,7,0.01821165159344673,3
309,173,0.009182567708194256,4
309,195,0.009110176004469395,5
309,156,0.004566507413983345,6
314,195,0.8984894752502441,1
314,14,0.09347490966320038,2
316,152,0.45643380284309387,1
316,45,0.21002383530139923,2
316,195,0.16802193224430084,3
316,3,0.16243496537208557,4
327,109,0.6034944653511047,1
327,133,0.16900070011615753,2
327,75,0.11589273065328598,3
327,23,0.0869327113032341,4
327,25,0.0193183571100235,5
338,137,0.9118226170539856,1
338,135,0.07931484282016754,2
